Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
s3fs-nio,org.carlspring.cloud.storage.s3fs,AttributesUtilsTest,filterAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createEmptyDirTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createEmptyFileTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createTempFileAndWrite,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,deleteDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,copyDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamBaseBucketFindDirectoryTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamBaseBucketFindFileTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamFirstDirTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamWithVirtualSubFolderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,deleteFullDirTest,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,copyUpload,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,copyDownload,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,copyAsNewFileInS3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,moveFromDifferentProviders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,move,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createFileWithFolderAndNotExistsFolders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,readAttributesFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,readAttributesString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,readAttributesDirectory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,bucketIsDirectory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,shouldReplaceExistingFileExample1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,shouldReplaceExistingFileExample2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,whenFirstProviderInChainHasNotSystemSettingsRegionPropertyItShouldThrowAnException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,whenSecondProviderInChainHasAwsProfileWithoutRegionItShouldThrowAnException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,neverTrustTheDefaults,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,theDefaults,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,halfTheCredentials,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,theOtherHalf,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,overrideHostAndPort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,shouldAllowUsingHTTPProxyAndHTTPSProtocolForS3Connections,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileAttributesTest,toStringPrintsBasicInfo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenReadShouldReturnZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorReadButTryToWrite,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenWriteShouldReturnZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorWriteButTryToRead,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,alreadyExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,brokenNetwork,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,shouldNotCreateChannelWithWriteWhenTargetDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,shouldRemoveTempFileWhenRequiredButTargetDoesNotExist,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,lockAcquiresALockOfChannelFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,lockWithHandlerAcquiresALockOfChannelFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,tryLockOverAnAcquiredLockThrowsAnException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,tryLockShouldAcquireLockOverANotAcquiredLock,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,bucketConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,nameConstructorAlreadyExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getFileStoreAttributeView,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getUnsupportedFileStoreAttributeView,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getAttributes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getOwner,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getRootDirectory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getSpaces,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,comparable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathFirst,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathFirstWithMultiplesPaths,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathFirstAndMore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathFirstAndMoreWithMultiplesPaths,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathFirstWithMultiplesPathsAndMoreWithMultiplesPaths,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathRelativeAndAbsoulte,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,duplicatedSlashesAreDeleted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getSeparatorSlash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathMatcherThrowException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getUserPrincipalLookupServiceThrowException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,newWatchServiceThrowException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getPathWithoutBucket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getFileStores,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getRootDirectories,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,supportedFileAttributeViewsReturnBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,close,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,comparables,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,key2Parts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,createDirectoryWithAttributes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,isSameFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorDirectory,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorAnotherDirectory,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorWithFileContainsDirectoryName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorWithSubFolderAndSubFiles,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorWithSubFolderAndSubFilesAtBucketLevel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorBucket,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorExhausted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorDirs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,virtualDirs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,incrementalVirtualDirs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,remove,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,openAndCloseProducesEmptyObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,writeToClosedStreamShouldProduceExceptionThreadSafe,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closingStreamShouldBeThreadSafe,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,zeroBytesWrittenProduceEmptyObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,smallDataUsesPutObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
