Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3BasicFileAttributeView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3PosixFileAttributes,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3BasicFileAttributes
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3PosixFileAttributeView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AccessControlList,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: S3Path; S3FileStore; S3FileSystem; S3FileSystemProvider; S3Utils; S3AccessControlList
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChain.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: profileFile; profileName
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChain.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Factory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: REGION; ACCESS_KEY; SECRET_KEY; REQUEST_METRIC_COLLECTOR_CLASS; CONNECTION_TIMEOUT; MAX_CONNECTIONS; MAX_ERROR_RETRY; PROTOCOL; PROXY_DOMAIN; PROXY_HOST; PROXY_PASSWORD; PROXY_PORT; PROXY_USERNAME; PROXY_WORKSTATION; PROXY_PROTOCOL; SOCKET_SEND_BUFFER_SIZE_HINT; SOCKET_RECEIVE_BUFFER_SIZE_HINT; SOCKET_TIMEOUT; USER_AGENT; SIGNER_OVERRIDE; PATH_STYLE_ACCESS; REQUEST_HEADER_CACHE_CONTROL; LOGGER; DEFAULT_PROTOCOL; DEFAULT_REGION; RADIX
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,Feature Envy,The tool detected a instance of this smell because sync is more interested in members of the type: S3Path
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ATTRIBUTE_VIEW_NAME; creationDate; name; ownerId; ownerDisplayName
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView.AttrID,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView.AttrID,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CHARSET_KEY; S3_FACTORY_CLASS; fileSystems; PROPS_TO_OVERLOAD; MAX_OBJECT_PER_REQUEST; LOGGER; s3Utils; cache
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FilteredIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Iterator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROOT_PATH; fileSystem; fileStore; key; items; addedVirtualDirectories; current; cursor; size; incremental; s3Utils
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ObjectId.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: bucket; key
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ObjectId.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream.StreamAlreadyClosedException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream.StreamAlreadyClosedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PATH_SEPARATOR; PATH_OTHER_INSTANCE_MESSAGE; fileStore; uri; fileSystem; fileAttributes
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 37 public methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannel,Feature Envy,The tool detected a instance of this smell because sync is more interested in members of the type: S3Path
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseIntegrationTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseIntegrationTest,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EnvironmentBuilder; BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PR_NUMBER_ENV_VAR
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 48 methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,FileSystemsIT,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientIT,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 37 methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3UnitTestBase
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3UnitTestBase
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannelTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3UnitTestBase
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UnitTestBase,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UtilsIT,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UtilsTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3UnitTestBase
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3UnitTestBase
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest.RegisteringVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: visitOrder
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest.RegisteringVisitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest.CheckVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: iterator
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest.CheckVisitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_HOSTNAME
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: S3Path; S3FileStore; S3FileSystem; S3FileSystemProvider; S3Utils; S3AccessControlList
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,BrokenS3Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,CopyDirVisitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,EnvironmentBuilder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUCKET_NAME_KEY
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,EnvironmentBuilder,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EnvironmentBuilder; BaseIntegrationTest
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3ClientBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3ClientFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,FileAttributeBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,MockBucket,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: S3ClientMock; MockBucket
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock.S3Element,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: s3Object; directory; inputStream
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock.S3Element,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3EndpointConstant,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: S3_GLOBAL_URI_TEST; S3_REGION_URI_TEST; S3_GLOBAL_URI_IT; MINIO_GLOBAL_URI_IT; S3_REGION_URI_IT
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3EndpointConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_GLOBAL_URI_TEST; S3_REGION_URI_TEST; S3_GLOBAL_URI_IT; MINIO_GLOBAL_URI_IT; S3_REGION_URI_IT
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3EndpointConstant,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: S3_GLOBAL_URI_TEST; S3_REGION_URI_TEST; S3_GLOBAL_URI_IT; MINIO_GLOBAL_URI_IT; S3_REGION_URI_IT
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,UnsupportedFileStoreAttributeView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,ToURLIT.Entry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,ToURLIT.Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,PathSpecTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
